Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
03/02/2022,Idaho,2021,8,2021-02-27,302,269,0,56,12,10,,13,11,,0,59,18,25,21,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2021,9,2021-03-06,307,278,,60,,13,,18,,,,66,14,23,18,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,10,2021-03-13,310,288,,69,14,15,,15,,,,69,10,13,11,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,11,2021-03-20,292,275,,62,10,14,0,,,,,65,16,17,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
03/02/2022,Idaho,2021,12,2021-03-27,300,267,,60,,10,,21,,,0,64,12,12,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
03/02/2022,Idaho,2021,13,2021-04-03,322,286,,50,10,14,,18,,11,,72,18,21,16,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,14,2021-04-10,342,317,,59,,14,,23,,,,77,15,27,20,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,15,2021-04-17,278,253,,55,,,,18,,,,63,10,23,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,16,2021-04-24,281,256,,55,12,14,,19,,,,53,19,15,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,17,2021-05-01,274,232,,57,16,,,16,,,,47,12,13,10,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,18,2021-05-08,275,247,,55,17,,0,10,,,,56,11,12,10,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,19,2021-05-15,288,263,0,50,,20,,19,,,0,61,12,21,17,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2021,20,2021-05-22,326,285,,66,10,15,,18,,,,64,12,17,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,21,2021-05-29,322,284,,75,,11,0,16,,,,61,17,17,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,22,2021-06-05,292,253,,59,,11,,18,,,,64,15,12,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,23,2021-06-12,324,288,,56,14,13,,22,,,,67,19,15,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,24,2021-06-19,316,275,,65,10,17,,13,,,,66,13,12,11,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,25,2021-06-26,294,255,,57,14,15,,20,,,,49,18,14,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,26,2021-07-03,313,281,,57,14,16,,19,,,,64,10,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Idaho,2021,27,2021-07-10,290,253,,52,10,11,,13,,,,54,14,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Idaho,2021,28,2021-07-17,299,277,,49,12,19,0,17,,,,64,16,10,10,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,29,2021-07-24,323,293,,62,12,18,,16,,,11,50,18,18,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2021,30,2021-07-31,337,304,,69,,17,,19,,,,58,15,20,18,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,31,2021-08-07,334,300,,51,,11,,20,,,,75,,31,27,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
03/02/2022,Idaho,2021,32,2021-08-14,331,302,,53,13,20,,17,,,,58,15,43,38,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,33,2021-08-21,346,308,,70,,,,13,,,,67,14,45,44,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,34,2021-08-28,361,326,,50,,14,,14,,,,59,18,77,70,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,35,2021-09-04,410,375,,56,24,16,,17,,,,61,14,93,91,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,36,2021-09-11,398,363,,48,17,17,,,,,,56,11,114,110,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,37,2021-09-18,466,440,,58,,21,,19,,,,80,16,151,136,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,38,2021-09-25,515,492,,61,14,25,,19,,,16,73,23,179,167,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2021,39,2021-10-02,509,473,,62,11,15,,21,,,,71,15,191,177,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,40,2021-10-09,497,461,,55,14,20,,20,,,,61,19,175,162,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,41,2021-10-16,477,451,,69,14,21,,23,,,,77,15,141,126,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,42,2021-10-23,469,438,,71,14,14,,22,,,,80,13,127,112,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,43,2021-10-30,443,417,,45,,21,,18,,,12,76,18,136,130,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2021,44,2021-11-06,429,393,,65,10,15,,18,,,11,68,15,105,95,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2021,45,2021-11-13,416,383,,58,11,18,,22,,,13,71,11,100,92,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2021,46,2021-11-20,401,369,,74,,15,,23,,,,65,17,60,54,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,47,2021-11-27,381,353,,70,,17,,20,,,,61,14,51,47,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,48,2021-12-04,348,330,,60,13,10,,22,,,,60,20,61,52,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,49,2021-12-11,369,344,,56,,16,,24,,,12,81,,42,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
03/02/2022,Idaho,2021,50,2021-12-18,361,335,,67,,18,,16,,,19,63,10,47,44,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2021,51,2021-12-25,398,376,,65,,17,,23,,,,79,17,55,48,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Idaho,2021,52,2022-01-01,346,329,,52,,20,,22,0,,19,70,12,43,40,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2022,1,2022-01-08,380,352,0,56,15,18,,20,,,14,82,14,42,40,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2022,2,2022-01-15,411,395,,81,10,20,,28,,,21,71,18,60,50,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2022,3,2022-01-22,350,322,0,61,11,21,,14,,,32,45,12,47,40,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2022,4,2022-01-29,394,378,,60,,17,,27,,,28,65,15,78,68,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2022,5,2022-02-05,339,329,,55,11,21,,14,,,18,52,14,72,64,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Idaho,2022,6,2022-02-12,255,249,0,38,,14,,14,,,21,44,,63,47,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
03/02/2022,Idaho,2022,7,2022-02-19,233,226,,30,,,,15,,,16,41,,46,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
03/02/2022,Illinois,2020,1,2020-01-04,2191,2007,29,427,57,74,46,106,43,57,24,520,119,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,2,2020-01-11,2252,2080,47,477,65,93,57,131,27,43,21,511,131,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,3,2020-01-18,2231,2065,30,476,59,94,62,116,39,70,21,489,140,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,4,2020-01-25,2199,2033,33,447,72,87,55,110,21,51,17,519,137,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,5,2020-02-01,2137,1984,33,450,61,76,72,120,26,60,26,482,131,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,6,2020-02-08,2232,2053,25,449,63,74,52,117,32,58,30,543,116,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,7,2020-02-15,2216,2054,32,451,59,88,61,117,32,60,19,525,130,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,8,2020-02-22,2207,2052,36,460,65,82,63,118,40,55,15,504,117,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,9,2020-02-29,2209,2022,34,460,56,86,62,110,36,49,26,538,115,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,10,2020-03-07,2254,2081,40,466,67,73,93,134,27,53,18,524,120,0,0,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,11,2020-03-14,2191,2020,34,455,54,75,87,99,38,61,22,530,127,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Illinois,2020,12,2020-03-21,2283,2102,36,472,48,102,84,128,33,57,32,509,119,14,14,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,13,2020-03-28,2304,2159,28,448,71,111,81,129,40,55,21,489,130,73,72,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,14,2020-04-04,2622,2441,33,478,72,103,77,125,31,62,21,544,108,299,293,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,15,2020-04-11,2870,2670,32,469,90,96,54,125,24,59,20,601,135,469,459,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,16,2020-04-18,2912,2739,22,459,84,104,74,123,28,60,20,538,131,591,569,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,17,2020-04-25,3010,2829,21,453,63,95,50,111,33,48,30,565,135,677,657,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,18,2020-05-02,2952,2763,26,444,66,107,51,118,26,47,16,533,134,741,703,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,19,2020-05-09,2962,2748,29,424,64,86,51,101,30,48,24,522,134,789,756,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,20,2020-05-16,2865,2676,30,469,76,81,37,88,30,59,19,493,122,699,671,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,21,2020-05-23,2638,2476,41,455,61,81,48,90,33,51,22,507,133,574,539,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,22,2020-05-30,2547,2316,20,438,65,80,34,114,21,49,30,479,109,470,443,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,23,2020-06-06,2511,2252,38,449,70,76,25,81,31,38,18,477,118,430,400,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,24,2020-06-13,2270,2086,18,426,64,79,27,88,21,41,24,472,111,319,294,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,25,2020-06-20,2255,2041,20,400,51,85,26,90,15,49,23,491,127,270,235,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,26,2020-06-27,2134,1929,35,426,65,78,30,87,27,53,19,463,108,150,130,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,27,2020-07-04,2182,1974,31,427,47,82,35,91,26,44,17,462,130,147,132,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,28,2020-07-11,2189,1950,36,430,62,83,37,87,23,43,37,483,109,111,100,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,29,2020-07-18,2087,1904,23,466,57,74,28,73,19,43,33,462,119,89,80,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,30,2020-07-25,2034,1826,22,425,65,64,27,79,15,38,24,465,112,82,75,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,31,2020-08-01,2071,1889,28,441,65,89,31,60,25,35,22,459,125,90,82,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,32,2020-08-08,2138,1963,37,440,56,82,38,94,18,40,18,485,105,98,85,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,33,2020-08-15,2126,1927,34,471,53,64,35,91,16,38,26,476,105,104,86,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,34,2020-08-22,2151,1944,39,437,77,76,28,82,26,67,23,453,128,98,81,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,35,2020-08-29,2120,1915,22,445,58,67,26,72,21,40,19,501,113,132,122,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,36,2020-09-05,2198,1999,37,422,65,88,33,91,26,39,30,513,115,119,103,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,37,2020-09-12,2080,1873,19,412,49,82,18,86,24,44,26,457,133,119,96,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,38,2020-09-19,2080,1889,30,412,69,84,37,91,21,29,23,470,110,131,104,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,39,2020-09-26,2295,2095,27,481,65,73,39,92,30,43,25,489,135,142,119,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,40,2020-10-03,2138,1942,25,450,59,79,39,90,23,36,25,467,121,150,117,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,41,2020-10-10,2333,2161,26,434,72,86,40,85,31,42,22,523,133,189,155,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,42,2020-10-17,2281,2094,25,409,61,93,39,100,29,38,20,500,122,229,190,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,43,2020-10-24,2290,2114,32,417,66,99,40,88,23,44,24,476,123,266,220,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,44,2020-10-31,2455,2271,25,438,69,106,28,92,28,57,21,519,114,333,294,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,45,2020-11-07,2699,2510,30,447,73,106,38,95,30,51,26,522,145,513,466,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,46,2020-11-14,2905,2701,30,455,71,93,31,98,31,48,30,537,152,675,621,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,47,2020-11-21,3186,3002,29,466,86,79,38,122,17,58,34,590,126,941,841,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,48,2020-11-28,3151,2964,33,451,72,108,34,92,29,48,38,565,152,941,826,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,49,2020-12-05,3282,3110,34,452,82,102,43,109,32,48,30,574,141,1029,941,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,50,2020-12-12,3345,3178,35,487,69,114,40,120,26,64,28,600,130,1039,916,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,51,2020-12-19,3130,2939,27,490,67,119,36,107,25,53,41,523,133,923,828,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,52,2020-12-26,3040,2849,27,408,60,107,50,88,27,43,26,567,108,875,786,,,,,,,,,,,,,,,
03/02/2022,Illinois,2020,53,2021-01-02,3031,2878,35,448,66,99,32,113,29,45,26,597,150,802,697,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,1,2021-01-09,2794,2635,36,387,51,105,44,91,23,55,27,598,135,646,577,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,2,2021-01-16,2734,2551,32,462,84,104,42,80,38,41,32,517,112,568,502,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,3,2021-01-23,2609,2437,52,410,60,86,38,97,28,50,26,522,144,476,429,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,4,2021-01-30,2585,2429,31,472,60,84,34,80,33,59,19,522,145,445,402,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,5,2021-02-06,2562,2381,36,452,67,90,34,109,30,44,28,536,124,347,299,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,6,2021-02-13,2476,2321,21,456,71,90,31,93,26,47,25,550,142,330,290,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,7,2021-02-20,2439,2278,38,476,76,71,31,89,34,50,21,534,141,222,199,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,8,2021-02-27,2333,2151,33,456,67,87,31,78,33,42,27,491,141,212,178,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,9,2021-03-06,2179,1997,34,417,73,71,26,83,22,46,28,485,118,144,130,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,10,2021-03-13,2109,1933,29,440,54,76,39,89,32,46,25,466,121,124,104,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,11,2021-03-20,2119,1934,27,438,48,84,30,103,20,54,26,465,131,120,100,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,12,2021-03-27,2129,1938,26,440,77,87,34,76,23,62,12,459,117,121,113,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,13,2021-04-03,2179,1989,37,406,69,58,32,109,29,62,24,480,143,119,105,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,14,2021-04-10,2232,2011,24,446,54,84,25,83,25,56,39,473,100,133,124,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,15,2021-04-17,2108,1889,25,378,57,78,23,89,23,45,22,445,120,180,169,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,16,2021-04-24,2221,2043,24,410,57,56,33,107,29,47,20,493,138,200,178,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,17,2021-05-01,2224,2059,28,475,70,53,29,86,34,50,31,472,117,197,175,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,18,2021-05-08,2156,1940,30,395,55,68,30,84,19,42,20,464,122,211,191,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,19,2021-05-15,2132,1929,28,396,66,67,28,74,18,44,26,479,117,179,162,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,20,2021-05-22,2218,2018,25,450,53,83,24,95,22,44,24,461,114,187,167,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,21,2021-05-29,2030,1821,27,380,52,54,29,79,23,34,25,449,104,127,110,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,22,2021-06-05,2187,1957,32,437,68,65,28,86,20,47,28,483,103,120,112,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,23,2021-06-12,2121,1890,21,425,50,71,29,102,30,41,26,425,126,103,97,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,24,2021-06-19,2034,1817,37,393,63,70,25,88,27,57,24,447,121,72,60,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,25,2021-06-26,1997,1808,28,434,58,55,24,86,31,45,31,443,111,62,54,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,26,2021-07-03,2058,1845,33,473,66,64,26,80,32,36,26,453,123,45,34,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,27,2021-07-10,2103,1888,23,437,56,69,27,102,35,43,38,470,113,44,39,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,28,2021-07-17,2110,1908,30,462,64,55,39,96,31,48,28,437,119,43,39,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,29,2021-07-24,2079,1849,29,458,52,76,23,86,27,45,34,454,110,45,36,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,30,2021-07-31,2070,1860,21,423,53,59,24,86,24,56,30,468,110,77,69,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,31,2021-08-07,2117,1880,36,441,43,70,23,95,27,50,31,444,119,96,87,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,32,2021-08-14,2176,1985,24,448,61,70,30,82,35,44,33,458,109,121,112,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,33,2021-08-21,2266,2039,32,430,63,52,31,91,21,54,35,453,108,200,190,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,34,2021-08-28,2297,2078,20,446,67,89,25,93,29,46,29,468,110,224,205,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,35,2021-09-04,2363,2132,32,451,53,86,28,98,24,50,42,471,107,251,235,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,36,2021-09-11,2382,2139,23,438,82,75,35,97,28,47,26,472,105,295,268,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,37,2021-09-18,2288,2078,23,441,76,83,32,100,30,44,26,448,110,280,260,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,38,2021-09-25,2321,2115,29,468,66,78,30,99,35,46,41,433,135,237,216,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,39,2021-10-02,2362,2157,36,464,60,63,35,96,31,45,39,502,125,249,222,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,40,2021-10-09,2332,2131,34,507,46,92,22,77,23,45,38,503,129,205,187,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,41,2021-10-16,2184,2006,31,411,56,77,30,71,23,63,34,456,118,210,189,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,42,2021-10-23,2413,2218,36,476,62,77,34,95,38,52,33,521,143,198,182,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,43,2021-10-30,2334,2142,31,433,70,91,38,83,33,48,51,475,143,184,168,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,44,2021-11-06,2375,2169,40,479,49,79,29,126,25,51,70,487,119,156,141,,,,,,,,,,,,,,,
03/02/2022,Illinois,2021,45,2021-11-13,2400,2178,34,399,73,83,31,100,34,64,43,523,140,163,144,,,,,,,,,,,,,,,
